,Fecha,dia_sorteo,numero1,numero2,numero3,numero4,numero5,estrella1,estrella2
0,25/10/2019,viernes,34,37,39,40,50,4,10
1,22/10/2019,martes,2,5,32,33,47,7,8
2,18/10/2019,viernes,8,18,22,41,42,11,12
3,15/10/2019,martes,3,28,31,32,34,4,5
4,11/10/2019,viernes,2,14,19,42,45,5,6
5,08/10/2019,martes,7,10,15,44,49,3,12
6,04/10/2019,viernes,6,9,35,41,44,6,9
7,01/10/2019,martes,2,11,18,40,46,1,4
8,27/09/2019,viernes,24,37,41,43,46,2,8
9,24/09/2019,martes,2,33,42,47,48,1,2
10,20/09/2019,viernes,8,21,25,38,50,4,8
11,17/09/2019,martes,22,37,43,44,45,1,12
12,13/09/2019,viernes,1,12,27,42,47,6,7
13,10/09/2019,martes,3,22,25,30,49,3,6
14,06/09/2019,viernes,10,13,22,40,48,2,5
15,03/09/2019,martes,7,11,38,39,44,7,10
16,30/08/2019,viernes,25,27,45,46,49,4,6
17,27/08/2019,martes,8,26,35,43,47,1,9
18,23/08/2019,viernes,4,17,35,42,45,2,8
19,20/08/2019,martes,20,22,23,24,37,1,4
20,16/08/2019,viernes,9,10,27,37,42,1,5
21,13/08/2019,martes,13,29,31,33,40,2,3
22,09/08/2019,viernes,2,14,35,41,42,10,11
23,06/08/2019,martes,12,13,29,36,38,4,12
24,02/08/2019,viernes,13,22,33,44,50,2,5
25,30/07/2019,martes,15,20,23,27,40,3,6
26,26/07/2019,viernes,2,5,27,37,42,3,10
27,23/07/2019,martes,1,14,19,23,38,3,7
28,19/07/2019,viernes,13,14,17,26,28,2,7
29,16/07/2019,martes,3,5,13,18,39,7,8
30,12/07/2019,viernes,2,31,39,45,47,4,8
31,09/07/2019,martes,7,29,32,36,41,6,7
32,05/07/2019,viernes,2,9,20,34,42,6,9
33,02/07/2019,martes,11,19,29,44,45,8,12
34,28/06/2019,viernes,1,3,16,33,49,2,11
35,25/06/2019,martes,6,26,27,34,46,1,9
36,21/06/2019,viernes,5,8,9,25,39,3,7
37,18/06/2019,martes,12,24,37,40,44,3,7
38,14/06/2019,viernes,1,13,30,31,39,2,7
39,11/06/2019,martes,25,27,39,42,46,11,12
40,07/06/2019,viernes,1,4,16,20,34,2,5
